Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
09-06-16,2,17969.98,18005.22,17915.88,17985.19,69690000,1181.2,10589.82,4958.62,2115.48,6231.9,1269.8,16668.41,6.5525,0.8766,0.6888,106.78
10-06-16,2,17938.82,17938.82,17812.34,17865.34,90540000,1163.93,10446.1,4894.55,2096.07,6115.8,1274.24,16601.36,6.552,0.8838,0.6914,107.09
13-06-16,2,17830.5,17893.28,17731.35,17732.48,101690000,1150.7,10349.17,4848.44,2079.06,6045,1283.86,16019.18,6.552,0.8897,0.7048,106.504
14-06-16,2,17710.77,17733.92,17595.79,17674.82,93740000,1147.82,10294.59,4843.55,2075.32,5923.5,1285.72,15859,6.5757,0.8857,0.7039,106.226
15-06-16,1,17703.65,17762.96,17629.01,17640.17,94130000,1149.3,10297.16,4834.93,2071.5,5966.8,1291.75,15919.58,6.5865,0.8918,0.708,106.087
16-06-16,2,17602.23,17754.91,17471.29,17733.1,91950000,1148.19,10322.84,4844.92,2077.99,5950.5,1278.43,15434.14,6.5718,0.8879,0.7044,105.85
17-06-16,1,17733.44,17733.44,17602.78,17675.16,248680000,1144.7,10347.94,4800.34,2071.22,6021.1,1298.65,15599.66,6.582,0.8887,0.6995,104.743
20-06-16,1,17736.87,17946.36,17736.87,17804.87,99380000,1157.7,10450.03,4837.21,2083.25,6204,1289.9,15965.3,6.5784,0.8811,0.6856,104.648
21-06-16,2,17827.33,17877.84,17799.8,17829.73,85130000,1153.87,10490.78,4843.76,2088.9,6226.6,1268.12,16169.11,6.5671,0.8832,0.6814,103.824
22-06-16,1,17832.67,17920.16,17770.36,17780.83,89440000,1148.97,10473.06,4833.32,2085.45,6261.2,1266.22,16065.72,6.5803,0.8888,0.6816,104.67
23-06-16,2,17844.11,18011.07,17844.11,18011.07,98070000,1172.22,10641.17,4910.04,2113.32,6338.1,1256.84,16238.35,6.5675,0.8827,0.6762,104.65
24-06-16,2,17946.63,17946.63,17356.34,17400.75,239000000,1127.54,10183.51,4707.98,2037.41,6138.7,1315.75,14952.02,6.5673,0.8831,0.6869,104.896
27-06-16,1,17355.21,17355.21,17063.08,17140.24,138740000,1089.65,9973.54,4594.44,2000.54,5982.2,1324.6,15309.21,6.6118,0.9061,0.7434,102.127
28-06-16,1,17190.51,17409.72,17190.51,17409.72,112190000,1107.3,10161.16,4691.87,2036.09,6140.4,1311.79,15323.14,6.6416,0.9079,0.7556,101.812
29-06-16,1,17456.02,17704.51,17456.02,17694.68,106380000,1131.62,10350.53,4779.25,2070.77,6360.1,1319.15,15566.83,6.6381,0.903,0.749,102.701
30-06-16,1,17712.76,17930.61,17711.8,17929.99,133030000,1151.92,10489.76,4842.67,2098.86,6504.3,1321.9,15575.92,6.6268,0.8986,0.7426,102.778
01-07-16,2,17924.24,18002.38,17916.91,17949.37,82160000,1156.77,10515.76,4862.57,2102.95,6577.8,1341.35,15682.48,6.6381,0.9004,0.7503,103.073
05-07-16,1,17904.45,17904.45,17785.28,17840.62,103650000,1139.45,10409.54,4822.9,2088.55,6545.4,1356.45,15669.33,6.6553,0.8972,0.753,102.518
06-07-16,2,17807.47,17926.91,17713.45,17918.62,93000000,1147.33,10441.58,4859.16,2099.73,6463.6,1363.78,15378.99,6.6697,0.9038,0.7717,101.141
07-07-16,1,17924.24,17984.95,17816.65,17895.88,81570000,1149.76,10413.97,4876.81,2097.9,6533.8,1360.45,15276.24,6.683,0.901,0.7736,101.15
08-07-16,1,17971.22,18166.77,17971.22,18146.74,93460000,1177.36,10571.78,4956.76,2129.9,6590.6,1366.33,15106.98,6.6711,0.9037,0.7742,100.79
11-07-16,1,18161.53,18283.9,18161.53,18226.93,80880000,1190.03,10627.2,4988.64,2137.16,6682.9,1355.4,15708.82,6.6781,0.9055,0.7724,100.692
12-07-16,1,18259.12,18371.95,18259.12,18347.67,90170000,1205.89,10726.79,5022.82,2152.14,6680.7,1333.1,16095.65,6.6839,0.9043,0.7703,102.524
